0	237
0.223	176
0.446	115
0.67	126
0.893	147
1.116	124
1.339	121
1.562	117
1.785	96
2.009	90
2.232	85
2.455	80
2.678	80
2.901	76
3.125	74
3.348	71
3.571	68
3.794	65
4.017	63
4.24	63
4.464	61
4.687	64
4.91	71
5.133	74
5.356	74
5.58	77
5.803	75
6.026	73
6.249	64
6.472	59
6.695	52
6.919	48
7.142	46
7.365	44
7.588	42
7.811	40
8.034	39
8.258	37
8.481	33
8.704	31
8.927	26
9.15	24
9.374	23
9.597	23
9.82	24
10.043	24
10.266	34
10.489	51
10.713	52
10.936	57
11.159	45
11.382	43
11.605	49
11.829	47
12.052	43
12.275	41
12.498	50
12.721	51
12.944	52
13.168	50
13.391	46
13.614	39
13.837	30
14.06	26
14.284	19
14.507	18
14.73	12
14.953	13
15.176	4
15.399	12
15.623	16
15.846	4
16.069	4
16.292	2
16.515	0
16.739	0
16.962	0
17.185	0
17.408	0
17.631	0
17.854	0
18.078	0
18.301	0
18.524	0
18.747	0
18.97	0
19.194	0
19.417	0
19.64	0
19.863	0
20.086	0
20.309	0
20.533	0
20.756	0
20.979	0
21.202	0
21.425	0
21.648	0
21.872	0
22.095	0
22.318	0
22.541	0
22.764	0
22.988	0
23.211	0
23.434	0
23.657	0
23.88	0
24.103	0
24.327	0
24.55	0
24.773	7
24.996	4
25.219	19
25.443	41
25.666	56
25.889	69
26.112	87
26.335	41
26.558	0
26.782	0
27.005	0
27.228	0
27.451	0
27.674	0
27.898	0
28.121	0
28.344	0
28.567	0
28.79	0
29.013	0
29.237	0
29.46	9
29.683	10
29.906	15
30.129	21
30.353	22
30.576	28
30.799	44
31.022	68
31.245	78
31.468	60
31.692	75
31.915	64
32.138	40
32.361	17
32.584	29
32.808	50
33.031	64
33.254	84
33.477	88
33.7	91
33.923	92
34.147	98
34.37	86
34.593	51
34.816	27
35.039	56
35.263	82
35.486	88
35.709	79
35.932	87
36.155	110
36.378	114
36.602	118
36.825	121
37.048	119
37.271	87
37.494	53
37.717	52
37.941	54
38.164	84
38.387	109
38.61	144
38.833	163
39.057	163
39.28	155
39.503	143
39.726	144
39.949	160
40.172	160
40.396	148
40.619	138
40.842	148
41.065	165
41.288	158
41.512	156
41.735	123
41.958	117
42.181	140
42.404	103
42.627	103
42.851	118
43.074	102
43.297	101
43.52	129
43.743	139
43.967	131
44.19	126
44.413	132
44.636	149
44.859	156
45.082	169
45.306	172
45.529	164
45.752	162
45.975	158
46.198	157
46.422	170
46.645	174
46.868	174
47.091	179
47.314	207
47.537	215
47.761	225
47.984	262
48.207	287
48.43	322
48.653	405
48.877	482
49.1	454
49.323	439
49.546	432
49.769	417
49.992	374
50.216	357
50.439	294
50.662	267
50.885	235
51.108	209
51.331	177
51.555	196
51.778	163
52.001	126
52.224	98
52.447	103
52.671	97
52.894	80
53.117	69
53.34	45
53.563	71
53.786	66
54.01	50
54.233	25
54.456	19
54.679	22
54.902	26
55.126	23
55.349	17
55.572	11
55.795	9
56.018	9
56.241	15
56.465	33
56.688	52
56.911	55
