0	482
0.031	476
0.062	465
0.093	456
0.124	450
0.155	445
0.186	443
0.217	440
0.248	439
0.279	439
0.311	439
0.342	439
0.373	439
0.404	439
0.435	438
0.466	436
0.497	435
0.528	432
0.559	429
0.59	427
0.621	425
0.652	423
0.683	422
0.714	421
0.745	419
0.776	415
0.807	407
0.838	397
0.87	389
0.901	381
0.932	378
0.963	375
0.994	373
1.025	371
1.056	368
1.087	366
1.118	363
1.149	361
1.18	359
1.211	356
1.242	353
1.273	346
1.304	337
1.335	327
1.366	316
1.397	306
1.429	297
1.46	290
1.491	285
1.522	281
1.553	278
1.584	274
1.615	271
1.646	268
1.677	264
1.708	259
1.739	253
1.77	248
1.801	244
1.832	240
1.863	237
1.894	232
1.925	228
1.956	224
1.988	220
2.019	217
2.05	214
2.081	211
2.112	208
2.143	204
2.174	197
2.205	191
2.236	186
2.267	180
2.298	177
2.329	175
2.36	180
2.391	188
2.422	195
2.453	198
2.484	199
2.515	197
2.547	195
2.578	190
2.609	184
2.64	177
2.671	171
2.702	167
2.733	164
2.764	163
2.795	164
2.826	165
2.857	160
2.888	153
2.919	146
2.95	139
2.981	132
3.012	123
3.043	115
3.074	107
3.105	100
3.137	95
3.168	92
3.199	94
3.23	95
3.261	97
3.292	98
3.323	100
3.354	101
3.385	101
3.416	100
3.447	100
3.478	101
3.509	104
3.54	106
3.571	107
3.602	104
3.633	101
3.664	98
3.696	95
3.727	93
3.758	91
3.789	88
3.82	86
3.851	83
3.882	81
3.913	79
3.944	78
3.975	77
4.006	76
4.037	74
4.068	72
4.099	71
4.13	67
4.161	64
4.192	59
4.223	55
4.255	50
4.286	47
4.317	45
4.348	46
4.379	49
4.41	52
4.441	58
4.472	63
4.503	67
4.534	71
4.565	73
4.596	74
4.627	73
4.658	73
4.689	73
4.72	72
4.751	70
4.782	68
4.814	66
4.845	65
4.876	64
4.907	61
4.938	58
4.969	55
5	52
5.031	48
5.062	44
5.093	40
5.124	36
5.155	33
5.186	29
5.217	27
5.248	24
5.279	23
5.31	22
5.341	21
5.372	20
5.404	20
5.435	20
5.466	20
5.497	20
5.528	22
5.559	22
5.59	23
5.621	23
5.652	23
5.683	23
5.714	23
5.745	24
5.776	24
5.807	25
5.838	26
5.869	27
5.9	27
5.931	27
5.963	26
5.994	25
6.025	24
6.056	24
6.087	23
6.118	23
6.149	23
6.18	22
6.211	21
6.242	20
6.273	19
6.304	18
6.335	17
6.366	17
6.397	17
6.428	16
6.459	15
6.49	13
6.522	13
6.553	12
6.584	11
6.615	11
6.646	10
6.677	10
6.708	10
6.739	10
6.77	9
6.801	9
6.832	9
6.863	10
6.894	10
6.925	9
6.956	9
6.987	9
7.018	9
7.049	9
7.081	10
7.112	10
7.143	11
7.174	12
7.205	13
7.236	14
7.267	15
7.298	15
7.329	16
7.36	18
7.391	20
7.422	24
7.453	28
7.484	32
7.515	36
7.546	39
7.577	42
7.608	44
7.64	47
7.671	49
7.702	52
7.733	54
7.764	54
7.795	55
7.826	56
7.857	57
7.888	56
7.919	54
